City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
188,Isangel,76,VU,1619800007,77,-19.55,169.2667,76.57,14.97
189,Springbok,0,ZA,1619800007,21,-29.6643,17.8865,63.27,6.78
190,Rio Grande,20,BR,1619799982,60,-32.035,-52.0986,75.2,9.22
191,Salta,40,AR,1619800008,59,-24.7859,-65.4117,66.2,5.75
192,Calbuco,90,CL,1619800008,94,-41.768,-73.1273,55.4,18.41
193,Norman Wells,40,CA,1619800009,55,65.282,-126.8329,35.6,5.75
194,Faanui,96,PF,1619800009,80,-16.4833,-151.75,78.71,6.78
195,Carnot,99,CF,1619800010,52,4.9409,15.8665,85.87,3.49
196,Mumford,100,GH,1619800010,66,5.2618,-0.759,84.85,11.34
197,Talaya,100,RU,1619800011,80,61.3833,152.75,28.31,2.91
198,Belozërskoye,72,RU,1619800011,41,55.8214,65.5842,43.86,12.17
199,São Raimundo Nonato,79,BR,1619799864,33,-9.0153,-42.6994,91.47,10.92
200,Oistins,20,BB,1619799966,51,13.0667,-59.5333,86.0,19.57
201,Tuatapere,49,NZ,1619800012,93,-46.1333,167.6833,43.0,3.0
202,Fairbanks,90,US,1619799812,86,64.8378,-147.7164,30.2,11.5
203,Naze,100,JP,1619799744,75,28.3667,129.4833,65.43,14.76
204,Broken Hill,22,AU,1619800013,42,-31.95,141.4333,64.4,9.22
205,Natori,55,JP,1619800014,72,38.1691,140.8823,53.55,5.14
206,Lethem,73,GY,1619800014,71,3.3803,-59.7968,80.37,7.23
207,Jutaí,83,BR,1619800015,92,-5.1833,-68.9,77.59,4.36
208,Namatanai,36,PG,1619800016,80,-3.6667,152.4333,78.67,3.53
209,Barrhead,99,GB,1619800016,46,55.7992,-4.3929,51.01,5.75
210,Hithadhoo,37,MV,1619799948,73,-0.6,73.0833,84.09,7.65
211,Cayenne,75,GF,1619800017,83,4.9333,-52.3333,82.0,5.75
212,Kristinestad,3,FI,1619800017,60,62.2743,21.376,39.27,8.93
213,Bilibino,25,RU,1619800018,96,68.0546,166.4372,-3.44,3.94
214,Half Moon Bay,90,US,1619800018,87,37.4636,-122.4286,61.0,9.22
215,Paita,0,PE,1619800018,61,-5.0892,-81.1144,82.4,13.8
216,Andalan,94,PH,1619800019,73,5.9594,121.3903,81.28,3.4
217,Batagay-Alyta,78,RU,1619799966,99,67.8006,130.4114,18.61,3.09
218,Sinnamary,100,GF,1619800020,93,5.3833,-52.95,75.63,6.44
219,Beyşehir,0,TR,1619800020,38,37.6773,31.7246,69.91,12.08
220,Arman',100,RU,1619800020,90,59.7,150.1667,30.07,1.72
221,Sligo,75,IE,1619800021,50,54.2697,-8.4694,50.0,6.91
222,Wana,98,PK,1619800023,37,32.2989,69.5725,74.5,3.96
223,Ucluelet,90,CA,1619800023,100,48.9329,-125.5528,50.0,8.05
224,Dingle,33,PH,1619800023,69,10.9995,122.6711,76.66,5.1
225,Pundaguitan,99,PH,1619800024,76,6.3711,126.1689,82.81,13.89
226,Petropavlovsk-Kamchatskiy,90,RU,1619800019,87,53.0452,158.6483,35.6,2.24
227,Shubarkuduk,17,KZ,1619800025,40,49.1447,56.4872,54.27,6.96
228,Okakarara,70,NA,1619800025,30,-20.5833,17.4333,78.15,2.17
229,Muros,59,ES,1619800026,51,42.7762,-9.0603,60.01,15.75
230,Quang Ngai,21,VN,1619800026,92,15.1167,108.8,75.81,2.24
231,Marsaxlokk,0,MT,1619800026,73,35.8419,14.5431,69.8,9.22
232,Bouar,100,CF,1619800027,58,5.934,15.596,78.44,6.44
233,Mount Isa,0,AU,1619800027,37,-20.7333,139.5,69.8,11.1
234,Gamba,100,GA,1619800028,75,-2.65,10.0,81.48,4.94
235,Houma,75,US,1619799960,74,29.5958,-90.7195,86.0,3.13
236,Dossor,3,KZ,1619800028,20,47.5272,52.9811,64.58,9.01
237,Karratha,1,AU,1619800029,45,-20.7377,116.8463,82.18,6.93
238,Laas,40,IT,1619800029,76,46.6166,10.7002,68.0,10.36
